name,name_cn,tag_l1,tag_l2,business_tags_customer,business_tags_role,business_tags_channel
AgeClub,AgeClub,产业服务;智能科技,数字化;行业媒体,B2B,服务商(媒体/数据),
SageWell,,消费品;金融保险,保险服务;养老金融,B2C,服务商,
乐湾,乐湾,养老住房;生活照护,适老化产品;适老化改造,B2B+B2C,平台,
优享陪诊,优享陪诊,医疗健康,健康管理,B2C,服务商,
全民K歌,全民K歌,文娱社交,社交平台;老年文娱,B2C,平台,
共比邻,共比邻,文娱社交,旅游;老年文娱,B2C,服务商,线上
兴趣岛,兴趣岛,文娱社交,社交平台;老年文娱,B2C,服务商,
医家通,医家通,养老住房;生活照护,居家护理;适老化产品;适老化改造,B2B,平台,
南京新百,南京新百,生活照护;金融保险,产业资本;居家护理,未标注,上市公司,
博斯腾,博斯腾,养老住房;医疗健康,养老机构;认知症,B2B,制造商(药),
可靠股份,可靠股份,金融保险,产业资本,未标注,上市公司,
善诊,善诊,医疗健康,健康管理,B2C,服务商,
奕然康复,奕然康复,医疗健康;康复辅具;智能科技;消费品,医疗器械;康复;智能硬件;机器人,B2B+B2C,服务商,
安护通,安护通,医疗健康;生活照护,健康管理;居家护理;慢病管理,B2B+B2C,平台,
安杰莱,安杰莱,康复辅具;智能科技;消费品,外骨骼;康复;智能硬件;机器人,B2B+B2C,服务商,
小年糕,小年糕,文娱社交,社交平台;老年文娱,B2C,平台,线上;短视频
小橙,小橙,消费品;生活照护,专业护理;居家护理;智能硬件,B2B,平台,
彩视,彩视,文娱社交,社交平台;老年文娱,B2B+B2C,平台,短视频
心智青,心智青,文娱社交,社交平台;老年文娱,B2B+B2C,平台,线下
悦心健康,悦心健康,金融保险,产业资本,未标注,上市公司,
抚理健康,抚理健康,生活照护,专业护理;居家护理,B2B+B2C,平台,
易得康,易得康,生活照护,专业护理;居家护理,B2B+B2C,平台,
橙医健康,橙医健康,医疗健康,健康管理;慢病管理,B2C,服务商,
清澜技术,清澜技术,医疗健康,健康监测;健康管理,B2B,技术服务商,
清雷,清雷,医疗健康,健康监测;健康管理,B2C,制造商(硬件/设备),
点可,点可,医疗健康,健康监测;健康管理,B2B,平台,
特霍芬,特霍芬,养老住房;医疗健康;生活照护,养老机构;认知症;适老化产品,B2B,技术服务商,
百芝龙,百芝龙,医疗健康;生活照护,健康监测;健康管理;居家护理,B2B+B2C,平台,
福寿康,福寿康,生活照护,专业护理;居家护理,B2B+B2C,服务商,
程天,程天,康复辅具;消费品,外骨骼;康复;智能硬件,B2B+B2C,服务商,
红松学堂,红松学堂,文娱社交,社交平台;老年文娱,B2C,平台,
织生科技,织生科技,养老住房;医疗健康,养老机构;认知症,未标注,服务商,
美好盛年,美好盛年,文娱社交,旅游;社交平台;老年文娱,B2C,服务商,线下
美篇,美篇,文娱社交,社交平台;老年文娱,B2B+B2C,平台,
苗米,苗米,医疗健康,健康监测;健康管理,B2C,服务商,
迈步,迈步,康复辅具;智能科技;消费品,外骨骼;康复;智能硬件;机器人,B2B+B2C,服务商,
远也,远也,康复辅具;消费品,外骨骼;康复;智能硬件,B2C,制造商(硬件/设备),
量子之歌,量子之歌,文娱社交,社交平台;老年文娱,B2C,服务商,
闲趣岛,闲趣岛,文娱社交,旅游;社交平台;老年文娱,B2B+B2C,平台,线上
集思鸣智,集思鸣智,养老住房;医疗健康,养老机构;认知症,未标注,服务商,
颐养通,颐养通,养老住房;生活照护,适老化产品;适老化改造,B2B,平台,
颐家,颐家,生活照护,专业护理;居家护理,B2B+B2C,平台,
