name,name_cn,tag_l1,tag_l2,business_tags_customer,business_tags_role,business_tags_channel,国家地区,简介,原分类category_l1,原分类category_l2
AgeClub,AgeClub,文娱社交;智能科技,数字化;行业媒体,B2B,服务商(媒体/数据),,国内,银发产业数据与创新服务平台，成立于2016年，北京。聚焦银发经济产业研究、企业服务、投资对接和行业峰会，是国内银发经济领域头部产业媒体。,行业服务,行业媒体
SageWell,,金融保险,保险;养老金融,B2C,服务商,,国内,智慧养老解决方案提供商，为养老机构提供智能化管理系统和服务平台。,行业服务,金融理财
乐湾,乐湾,养老服务,适老化;适老化改造,B2B+B2C,平台,,国内,康养社区运营商，提供高品质养老社区和康养服务。,适老化改造,适老家居产品
优享陪诊,优享陪诊,医疗健康,健康管理,B2C,服务商,,国内,专业陪诊服务平台，为老年人及行动不便人群提供就医陪同、代办挂号、取药等一站式服务。,健康服务,健康养生
全民K歌,全民K歌,文娱社交,文娱;社交平台,B2C,平台,,国内,腾讯旗下在线K歌应用，中老年用户活跃度极高，是银发群体最常用的娱乐社交应用之一。,老年文娱,社交平台
共比邻,共比邻,文娱社交,文娱;旅游,B2C,服务商,线上,国内,老年旅游平台，有公众号和小程序。,老年文娱,老年旅游
兴趣岛,兴趣岛,文娱社交,文娱;社交平台,B2C,服务商,,国内,"前身""千聊""，成立于2016年，中老年在线兴趣教育平台。提供太极、瑜伽、书法、国画、声乐等课程，累计服务数百万中老年用户。",老年文娱,社交平台
医家通,医家通,养老服务,居家护理;适老化;适老化改造,B2B,平台,,国内,社区居家养老SaaS系统提供商，为养老机构和社区养老服务中心提供信息化管理平台。,适老化改造,适老家居产品
南京新百,南京新百,养老服务;金融保险,产业资本;居家护理,未标注,上市公司,,国内,A股上市公司（600682），旗下拥有安康通、Natali、禾康养老等品牌，是国内领先的养老服务运营企业，业务覆盖居家养老、社区养老和机构养老。,产业资本,相关上市公司
博斯腾,博斯腾,养老服务;医疗健康,养老机构;认知症,B2B,制造商(药),,国内,上海博斯腾网络科技，认知症（阿尔茨海默病）数字疗法企业。通过AI驱动的认知评估和训练游戏，为轻度认知障碍和认知症患者提供非药物干预治疗方案。已完成亿元级A+轮融,失智老人赛道,照护机构
可靠股份,可靠股份,金融保险,产业资本,未标注,上市公司,,国内,"成人失禁护理用品龙头企业，A股上市（301298），旗下""可靠""品牌是国内成人纸尿裤头部品牌，产品覆盖成人失禁护理全品类。",产业资本,相关上市公司
善诊,善诊,医疗健康,健康管理,B2C,服务商,,国内,成立于2015年，上海，老年体检服务平台。通过整合全国体检机构资源，为老年人和企业客户提供专业体检服务及健康管理方案。累计融资近10亿元。,健康服务,健康养生
奕然康复,奕然康复,医疗健康;智能科技;消费品,医疗器械;康复医疗;智能硬件;机器人,B2B+B2C,服务商,,国内,康复医疗设备研发企业，专注于康复机器人及智能康复解决方案。,康复设备,运动康复
安护通,安护通,养老服务;医疗健康,健康管理;居家护理;慢病管理,B2B+B2C,平台,,国内,居家护理服务平台，提供专业护理员上门服务，覆盖居家养老、术后护理、慢病管理等场景。,健康服务,健康养生
安杰莱,安杰莱,医疗健康;康复辅具;智能科技;消费品,外骨骼;康复医疗;智能硬件;机器人,B2B+B2C,服务商,,国内,医疗机器人企业，专注于康复外骨骼机器人研发，为卒中、脊髓损伤等患者提供下肢康复训练方案。,康复设备,运动康复
小年糕,小年糕,文娱社交,文娱;社交平台,B2C,平台,线上;短视频,国内,中老年短视频和影集制作应用，微信生态内头部小程序，服务数亿用户，是银发群体最常用的内容创作工具之一。,老年文娱,社交平台
小橙,小橙,养老服务;消费品,专业护理;居家护理;智能硬件,B2B,平台,,国内,智慧养老解决方案提供商，为养老机构提供智能化硬件和SaaS管理系统。,养老服务,专业级护理
彩视,彩视,文娱社交,文娱;社交平台,B2B+B2C,平台,短视频,国内,中老年短视频社交平台，提供视频制作、社区互动等功能，主要面向银发群体。,老年文娱,社交平台
心智青,心智青,文娱社交,文娱;社交平台,B2B+B2C,平台,线下,国内,中老年文娱教育平台，提供线下课程和社区活动，聚焦中老年精神文化需求。,老年文娱,社交平台
悦心健康,悦心健康,金融保险,产业资本,未标注,上市公司,,国内,A股上市公司（002162，原斯米克），从建筑陶瓷业务转型大健康与养老服务，布局康养社区、康复医疗和老年教育。,产业资本,相关上市公司
抚理健康,抚理健康,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,居家养老护理服务商，提供专业护理员上门服务，覆盖生活照料、医疗护理、康复陪伴等。,养老服务,专业级护理
易得康,易得康,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,居家养老护理服务品牌，提供专业护理员上门服务，服务覆盖长三角等地区。,养老服务,专业级护理
