企业名(name),中文名(name_cn),当前一级(tag_l1),当前二级(tag_l2),被审目标标签,是否问题(是/否),原二级(被审那个),建议二级(若问题),理由(≤40字),国家(country),简介(description简)
乐湾,乐湾,养老服务,适老化|适老化改造,适老化,否,适老化,,,,康养社区运营商，提供高品质养老社区和康养服务。
优享陪诊,优享陪诊,医疗健康,健康管理,健康管理,否,健康管理,,,,专业陪诊服务平台，为老年人及行动不便人群提供就医陪同、代办挂号、取药等一站式服务。
全民K歌,全民K歌,文娱社交,文娱|社交平台,文娱,否,文娱,,,,腾讯旗下在线K歌应用，中老年用户活跃度极高，是银发群体最常用的娱乐社交应用之一。
全民K歌,全民K歌,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,腾讯旗下在线K歌应用，中老年用户活跃度极高，是银发群体最常用的娱乐社交应用之一。
共比邻,共比邻,文娱社交,文娱|旅游,文娱,否,文娱,,,,老年旅游平台，有公众号和小程序。
兴趣岛,兴趣岛,文娱社交,文娱|社交平台,文娱,否,文娱,,,,"前身""千聊""，成立于2016年，中老年在线兴趣教育平台。提供太极、瑜伽、书法、国画、声乐等课程，累计服务数百万中老年用户"
兴趣岛,兴趣岛,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,"前身""千聊""，成立于2016年，中老年在线兴趣教育平台。提供太极、瑜伽、书法、国画、声乐等课程，累计服务数百万中老年用户"
医家通,医家通,养老服务,居家护理|适老化|适老化改造,居家护理,否,居家护理,,,,社区居家养老SaaS系统提供商，为养老机构和社区养老服务中心提供信息化管理平台。
医家通,医家通,养老服务,居家护理|适老化|适老化改造,适老化,否,适老化,,,,社区居家养老SaaS系统提供商，为养老机构和社区养老服务中心提供信息化管理平台。
南京新百,南京新百,养老服务|金融保险,产业资本|居家护理,居家护理,否,居家护理,,,,A股上市公司（600682），旗下拥有安康通、Natali、禾康养老等品牌，是国内领先的养老服务运营企业，业务覆盖居家养
南京新百,南京新百,养老服务|金融保险,产业资本|居家护理,产业资本,否,产业资本,,,,A股上市公司（600682），旗下拥有安康通、Natali、禾康养老等品牌，是国内领先的养老服务运营企业，业务覆盖居家养
博斯腾,博斯腾,养老服务|医疗健康,养老机构|认知症,认知症,否,认知症,,,,上海博斯腾网络科技，认知症（阿尔茨海默病）数字疗法企业。通过AI驱动的认知评估和训练游戏，为轻度认知障碍和认知症患者提供
