serial,name,tag_l1,tag_l2,desc_len,desc_preview,desc_cn_len,desc_cn_preview,rv,sig,total,has_recommend,reco_len
#0421,优生活羊奶,食品营养,功能性食品,21,液态羊奶、羊奶粉，广东、福建中老年市场深耕,11,中老年羊奶区域深耕品牌,35.7,0.55,5.5,True,76
#0612,AgeWell Global,文娱社交,陪伴服务,21,基于同伴的社交参与+移动技术，改善健康结果,83,AgeWell Global是基于同伴支持的老年社交参与平台，结合移动技术组织同龄志愿者定期联络独居长者，以改善其健康结果与生活质量，缓解孤独问题，覆盖海外多个社区。,46.6,0.55,7.1,True,73
#0624,Arbital Health,行业服务,行业研究,21,第三方结果导向合同裁决机构，基于价值的医疗,154,为医保支付方与医疗机构提供价值医疗(VBC)风险合约的中立基础设施，统一理赔、基准、利用率与合约数据，用精算师团队+AI平台做合约裁决与实时绩效监测，2026年推出对话式AI助手Merlin。收入来自,45.6,2.55,8.1,True,92
#0636,Better Health,消费品,零售,21,在线医疗产品商店，造口、泌尿科和糖尿病产品,21,在线医疗产品商店，造口、泌尿科和糖尿病产品,41.6,0.55,6.2,True,97
#0638,Bioniq,食品营养,个性化营养,21,AI驱动的个性化补充剂，最多53种成分混合,128,基于血液生物标志物的个性化营养补剂品牌，用户上传体检报告或完成问卷，算法从最多120种成分中生成瑞士颗粒剂型定制配方，按季度订阅（90天量、月付）配送。收入来自DTC订阅费，客户含精英运动员与高净值人,51.6,2.55,8.9,True,109
#0698,Embr Labs,消费品,更年期,21,通过温度解决健康问题，管理潮热、睡眠、压力,21,通过温度解决健康问题，管理潮热、睡眠、压力,41.6,0.55,6.2,True,72
#0702,Float,养老服务,护士派遣,21,将有额外时间的护士与需要在家输液的个人连接,134,面向专科药房的全栈式居家输液平台：用AI排班把持证'超级护士'匹配到慢病（多发性硬化、自免、肿瘤生物制剂）患者的家中，承接原本需住院的输注治疗。收入来自药房按次支付的技术与护理服务费（加州约70–10,46.6,2.55,8.2,True,62
#0731,Help-full,养老服务,家政,21,将老年人与有共同兴趣的人配对，做饭、洗衣等,21,将老年人与有共同兴趣的人配对，做饭、洗衣等,34.2,0.55,5.3,True,86
#0769,Lotus Ring,消费品,智能家居,21,戴在手指上的遥控器，红外线控制灯光、风扇等,21,戴在手指上的遥控器，红外线控制灯光、风扇等,38.7,0.55,5.9,True,83
#0783,Midi Health,养老服务,诊所,21,最快发展的虚拟护理诊所，专门服务绝经期女性,133,面向围绝经期、更年期及中年女性的全国性虚拟专科诊所，多专科医生线上接诊，保险覆盖全美50州，称已服务超20万患者。收入来自保险理赔，辅以会员式长期健康管理，AI用于分诊排程。其关注的熟龄女性健康被传统,76.6,6.55,14.6,True,115
#0784,Mighty Health,文娱社交,健身,21,面向50+人群，多合一运动、营养和健康计划,21,面向50+人群，多合一运动、营养和健康计划,41.6,0.55,6.2,True,143
#0789,Modivcare,养老服务,适老化,21,非紧急医疗运输、个人护理服务和远程患者监控,147,美国院后护理物流平台，整合非紧急医疗转运、居家个人照护、远程监测与送餐，对接Medicaid与Medicare Advantage会员做医保控费。作为全美最大转运经纪商，不自营车辆而管理运力网络，按服,47.7,4.55,9.4,True,72
#0797,NeuroClues,养老服务,认知筛查,21,眼动追踪设备检测神经退行性疾病，帕金森筛查,182,NeuroClues（前身P3Lab）是法比medtech，2020年成立，做基于眼动追踪的神经退行性疾病早筛。头戴设备每秒记录800帧红外眼动图像，免校准、数分钟出量化生物标志物，可在影像确诊前数年,45.6,0.55,6.8,True,91
#0800,NexStride,康复辅具,助行器,21,小型设备连接助行器，灯光和声音信号帮助行走,21,小型设备连接助行器，灯光和声音信号帮助行走,42.7,0.55,6.4,True,79
#0801,Nice healthcare,养老服务,居家医疗,21,虚拟/上门初级保健、物理治疗和慢性护理管理,159,Nice Healthcare是面向中小企业的按会员制初级医疗保健服务商，将诊所搬进员工家中与手机里：提供虚拟或上门全科问诊、35项居家化验与X光、550余种处方药配送、物理治疗与心理服务。雇主按月固,44.6,2.55,7.8,True,102
#0810,One Medical,养老服务,诊所,21,会员制初级保健机构，2023年被亚马逊收购,139,会员制数字化初级保健平台，靠年费会员与保险覆盖提供虚拟+到店全科服务，2023年被亚马逊以约39亿美元收购并入其健康生态。收入来自会员年费、商业保险(含Medicare Advantage)与B端企业,70.6,6.55,13.7,True,97
#0814,Osher Lifelong Learning Institutes (OLLI),文娱社交,教育,21,非营利性老年终身学习，50岁以上非学分课程,21,非营利性老年终身学习，50岁以上非学分课程,38.7,0.55,5.9,True,95
#0845,SeniorHousingLiving,行业服务,养老信息平台,21,老年住房、健康、技术等内容，给护理交易引流,21,老年住房、健康、技术等内容，给护理交易引流,42.1,0.55,6.6,True,93
#0848,Senpai,文娱社交,文娱/陪伴服务,21,具有语音功能的数字伴侣，社交陪伴、提醒服药,21,具有语音功能的数字伴侣，社交陪伴、提醒服药,38.7,0.55,5.9,True,85
#0855,Signify Health,养老服务,居家医疗,21,家庭健康评估，强调预防，会员平均年龄71岁,149,为Medicare Advantage等健康计划提供上门健康评估与护理协调。评估人员上门为老人做体检、用药核查及认知障碍数字筛查，费用由健康计划按次全额买单、会员免费。收入来自健康计划按次服务费。核心,81.5,10,17.4,True,88
#0898,Videra Health,养老服务,心理健康,21,AI检测面部表情和肢体语言变化筛查心理健康,84,用AI识别面部表情与肢体语言变化来筛查心理健康的公司，向医疗机构与照护机构输出视频化情绪监测，亮点在无接触、可规模化的心理状态早筛，但准确度与隐私争议是需要直面的硬伤。,49.6,0.55,7.5,True,86
#0908,Voxela,康复辅具,跌倒监测,21,AI图像分析检测跌倒和走动，护理机构和医院,87,用AI视频分析在护理机构与医院里识别跌倒与异常走动的平台，2024年Pre-A轮、累计约四百万美元，亮点在视觉监测不打扰老人，但摄像头隐私与误报率是部署时必须权衡的关键问题。,49.6,0.55,7.5,True,126
#0925,ŌURA,康复辅具,可穿戴监测,21,Oura智能戒指，收集20+种生物特征数据,149,智能戒指硬件+健康订阅服务：戒指24小时无感采集心率、体温、血氧与睡眠/压力信号，配套App与AI助手做趋势解读，已获FDA医疗器械认证并与Dexcom合作慢病管理。收入来自硬件销售与每月会员费，另含,53.7,1.55,8.4,True,83
#0934,Khyaal,文娱社交,社区,21,印度老年人超级应用，覆盖300万+老年用户,13,B2B 行业媒体/数据服务,41.6,0.55,6.2,True,116
#1455,嘉康源健康管理有限公司,养老服务,慢病管理,21,"大健康
【提供资源】讲师
【需求资源】客户",21,"大健康
【提供资源】讲师
【需求资源】客户",39.6,0.55,5.9,True,124
#0423,彭世修脚,消费品,个人护理,22,修脚、足疗、采耳、推拿中老年线下社区养生服务,11,中老年修脚足疗养生连锁,40.7,0.55,6.1,True,143
#0429,享睡Sleepace,康复辅具,睡眠监测,22,家用无感睡眠监测垫，居家、养老机构双场景硬件,91,无感睡眠监测硬件研发商，主打非穿戴睡眠监测垫，可采集心率、呼吸与离床等数据，同时覆盖居家养老与机构养老两类场景，曾获京东等机构投资、后被罗莱生活战略收购，产品用于夜间看护与风险预警。,43.7,0.55,6.5,True,118
#0430,大耳马医学,康复辅具,睡眠监测/康复器械,22,鼾症、睡眠呼吸暂停居家监测，适配老年慢病人群,11,睡眠呼吸暂停居家监测商,37.7,0.55,5.8,True,135
#0599,6Degrees,康复辅具,可穿戴监测,22,可穿戴AI将动作转换为数字命令，控制智能设备,85,6Degrees研发可穿戴AI设备，将用户的肢体动作转换为数字命令以控制智能设备与轮椅，帮助行动不便的老年及残障人群更自主地操作生活环境，属康复辅具创新，提升生活独立性。,46.6,0.55,7.1,True,90
#0605,Actif,养老服务,认知训练,22,创建于2021年，针对老年人的体育和认知锻炼,22,创建于2021年，针对老年人的体育和认知锻炼,38.7,0.55,5.9,True,154
#0608,Adonis,行业服务,养老信息平台,22,AI收入周期技术，10000+医疗服务供应商,123,面向医院与医生集团的医疗收入周期管理(RCM)AI平台，用机器学习分析拒付、应收账款与支付方行为，自动派单追款。收入来自向医疗机构收取的SaaS订阅费。关联银发在于：护理院、养老机构的医保账单拒付率高,43.6,2.55,7.6,True,88
#0692,eargym,康复辅具,助听器,22,个性化听力健康伴侣APP，沉浸式游戏提高听力,88,面向听力减弱人群做沉浸式听觉训练应用，以游戏化音频练习改善声音辨别与处理能力，采用个人付费订阅，将专业听觉康复从线下门店搬到移动端、显著降低参与门槛，早期获五十万美元启动资金。,49.6,0.55,7.5,True,123
#0694,Elidah,消费品,尿失禁,22,Elitone治疗压力性尿失禁的非侵入性方法,138,外置式女性盆底康复设备商：核心产品ELITONE为FDA认证的非侵入穿戴贴片，每天佩戴20分钟刺激盆底肌，用于压力性尿失禁；通过官网直购（无需处方）与临床渠道双线销售，并接入Original Medi,43.1,1.05,6.8,True,120
#0781,Menolabs,消费品,更年期,22,更年期保健产品，被Dr. Reddy's收购,133,更年期女性健康消费品品牌组合：以MenoFit/MenoGlow益生菌、膳食纤维与营养补充剂为主，配套MenoLife追踪社区APP提供教育与陪伴，通过自有官网、亚马逊与沃尔玛DTC零售；2024年被,29.1,1.05,4.7,True,116
#0860,SomaReality,养老服务,认知筛查/认知训练,22,基于眼动追踪的数字生物标记，实时监测认知过程,22,基于眼动追踪的数字生物标记，实时监测认知过程,38.7,0.55,5.9,True,86
#0895,Vayyar,消费品,智能家居,22,4D成像雷达，非侵入式全面环境监测，隐私保护,141,4D成像雷达跌倒监测方案。用60GHz毫米波射频点云，无摄像头地监测老人跌倒与活动轨迹，覆盖卧室浴室等隐私场景，单设备监测约16平方米。收入来自向养老院、OEM与智能家居厂商销售雷达模组或芯片，并集成,57.1,3.05,9.7,True,177
#0918,Xander Glasses,消费品,眼镜,22,将语音翻译成文本并实时显示字幕，AR增强对话,22,将语音翻译成文本并实时显示字幕，AR增强对话,41.6,0.55,6.2,True,82
#1010,Nourish Care,行业服务,养老软件,22,英国照护管理软件，灵活记录协调与报告社交照护,87,英国照护管理软件，面向养老与社区照护机构，提供灵活记录、跨团队协作与社交照护报告，按订阅收费，后被PE方收购、赛道整合信号明显，是英国照护信息化代表，在本土机构中渗透率较高。,43.7,0.55,6.4,True,90
#1022,Mon Ami,行业服务,养老软件,22,为老残服务机构重造数据库，自动报告与活动协调,84,为养老与残障服务机构重造数据库的软件，自动生成合规报告并协调日常活动，减少行政负担，按订阅向机构收费，提升一线运营效率，是机构管理数字化工具，帮助一线团队降低管理成本。,43.7,0.55,6.4,True,90
#1024,Caring.com,行业服务,养老信息平台,22,全美养老社区与居家照护免费目录与家庭顾问指导,87,全美养老社区与居家照护的免费目录与家庭顾问平台，聚合机构信息并连接家庭与顾问，靠机构入驻与广告变现，是银发照护信息流量入口，连接供给与需求两端，积累了大量机构评价与费用数据。,43.7,0.55,6.4,True,79
#1029,Gubbe,养老服务,远程护理,22,芬兰连接老人与看护者App，含传感器跌倒监测,88,芬兰连接老人与看护者的平台，配套传感器做跌倒监测与日常活动追踪，面向居家养老家庭与市政照护采购，按服务或订阅收费，是北欧居家照护连接模式代表，由市政与家庭共同采购、模式可复制。,43.7,0.55,6.4,True,108
#1035,Good Life Sorted,消费品/康复辅具,智能家居/用药提醒,22,老人App与智能家技术提醒用药、连社交减孤立,97,Good Life Sorted是面向长者的综合生活助手，用手机应用与智能家居技术提醒用药、联动社交以减少孤立，把日常照护要点做成可执行的提醒流，属消费品与康复辅具交叠的适老工具，覆盖海外家庭。,46.6,0.55,7.1,True,91
#1047,Axena Health,消费品,尿失禁,22,医生处方、非侵入式女性盆底健康系统，带入家庭,22,医生处方、非侵入式女性盆底健康系统，带入家庭,38.7,0.55,5.9,True,81
#1073,中科源码,文娱社交,陪伴机器人/陪伴服务,22,长者陪伴机器人“小丽”，在成都太保家园等应用,22,长者陪伴机器人“小丽”，在成都太保家园等应用,42.1,0.55,6.6,True,83
#1081,新奈医疗,康复辅具,睡眠监测,22,聚焦老年睡眠呼吸治疗，AI呼吸机产品打开市场,22,聚焦老年睡眠呼吸治疗，AI呼吸机产品打开市场,34.2,0.55,5.3,True,80
#1087,矩侨工业,康复辅具,可穿戴监测,22,柔性传感技术成功适配康复机器人与老年穿戴设备,22,柔性传感技术成功适配康复机器人与老年穿戴设备,41.6,0.55,6.2,True,99
#1093,可氏利夫,消费品,个人护理/美妆护肤,22,50+专属白转黑头皮精华，半年数百万元销售额,81,可氏利夫是面向50岁以上人群的头皮护理品牌，主打白转黑头皮精华，半年内实现数百万元销售额，切入中老年形象管理与抗衰个护新品类，以电商渠道销售，属银发个人护理细分。,38.2,0.55,5.9,True,87
#1338,MapHabit,养老服务,认知训练,22,视觉映射辅助，支持 AD/痴呆日常认知训练。,147,面向认知症、智力障碍等群体的视觉步骤映射平台：把洗漱、用药等日常任务拆成可编辑图文/音频地图，配合平板、活动包与教练帮患者建立独立生活routine；经美国州政府豁免计划向符合条件者免费提供，机构客户,40.7,1.55,6.8,True,91
