serial,name,tag_l1,tag_l2,desc_len,description,desc_cn_len,rv,sig,total,reco_len,is_info_insufficient
#1406,吉槐树,文娱社交,文娱,20,吉槐树：老年玩具头部企业。涉及文娱领域。,5,41.6,0.55,6.2,103,0
#1416,江苏润滔智能家居有限公司,养老服务,适老化,20,专业代工康养适老化产品。涉及适老化领域。,105,45.6,0.55,6.8,86,0
#1424,合心养老,养老服务,护工培训,20,5年覆盖3000机构。涉及护工培训领域。,20,41.6,0.55,6.2,151,0
#1485,骓电科技,消费品,智能硬件,20,养老相关的硬件和服务。涉及智能硬件领域。,5,41.6,0.55,6.2,76,0
#1505,孝之源集团,养老服务,适老化,20,孝之源集团：适老化产品。涉及适老化领域。,14,39.6,0.55,5.9,88,0
#1516,新昇科技,行业服务,养老软件/养老信息平台,20,AIOT 智慧型照护 6D 物联网产业。,109,45.6,0.55,6.8,80,0
#1523,北京乐乐智慧养老服务有限公司,养老服务/行业服务,家政/养老信息平台,20,互联网平台。涉及家政、养老信息平台领域。,20,39.6,0.55,5.9,166,0
#1531,重庆大顺7号科技有限公司,养老服务/行业服务,养老机构/养老信息平台,20,10000+养老会员，托管10家养老院。,7,35.6,0.55,5.3,120,0
#1532,深圳世睿都市设计师事务所有限公司,养老服务,康养地产/适老化,20,跨领域设计驱动型企业/医疗康养事业发展。,6,39.6,0.55,5.9,120,0
#1534,纽雀信(上海)医药科技有限公司,养老服务,适老化,20,养老产业相关适老化改造。涉及适老化领域。,6,39.6,0.55,5.9,80,0
#0421,优生活羊奶,食品营养,功能性食品,21,液态羊奶、羊奶粉，广东、福建中老年市场深耕,11,35.7,0.55,5.5,76,0
#0612,AgeWell Global,文娱社交,陪伴服务,21,基于同伴的社交参与+移动技术，改善健康结果,83,46.6,0.55,7.1,73,0
#0624,Arbital Health,行业服务,行业研究,21,第三方结果导向合同裁决机构，基于价值的医疗,154,45.6,2.55,8.1,92,0
#0636,Better Health,消费品,零售,21,在线医疗产品商店，造口、泌尿科和糖尿病产品,21,41.6,0.55,6.2,97,0
#0638,Bioniq,食品营养,个性化营养,21,AI驱动的个性化补充剂，最多53种成分混合,128,51.6,2.55,8.9,109,0
#0698,Embr Labs,消费品,更年期,21,通过温度解决健康问题，管理潮热、睡眠、压力,21,41.6,0.55,6.2,72,0
#0702,Float,养老服务,护士派遣,21,将有额外时间的护士与需要在家输液的个人连接,134,46.6,2.55,8.2,62,0
#0731,Help-full,养老服务,家政,21,将老年人与有共同兴趣的人配对，做饭、洗衣等,21,34.2,0.55,5.3,86,0
#0769,Lotus Ring,消费品,智能家居,21,戴在手指上的遥控器，红外线控制灯光、风扇等,21,38.7,0.55,5.9,83,0
#0783,Midi Health,养老服务,诊所,21,最快发展的虚拟护理诊所，专门服务绝经期女性,133,76.6,6.55,14.6,115,0
